student_anon_id,1,2,Q3.,4,5,6,7
MAX,10,15,15,15,15,10,20
S001,9,14,9,13,14,9,17
S002,8,13,7,12,13,8,16
S003,7,12,5,11,12,10,15
S004,10,11,3,10,15,9,14
S005,9,15,10,9,14,8,13
S006,8,14,8,14,13,10,12
S007,7,13,6,13,12,9,18
S008,10,12,4,12,15,8,17
S009,9,11,2,11,14,10,16
S010,8,15,9,10,13,9,15
S011,7,14,7,9,12,8,14
S012,10,13,5,14,15,10,13
S013,9,12,3,13,14,9,12
S014,8,11,10,12,13,8,18
S015,7,15,8,11,12,10,17
S016,10,14,6,10,15,9,16
S017,9,13,4,9,14,8,15
S018,8,12,2,14,13,10,14
S019,7,11,9,13,12,9,13
S020,10,15,7,12,15,8,12
S021,9,14,5,11,14,10,18
S022,8,13,3,10,13,9,17
S023,7,12,10,9,12,8,16
S024,10,11,8,14,15,10,15
S025,9,15,6,13,14,9,14
S026,8,14,4,12,13,8,13
S027,7,13,2,11,12,10,12
S028,10,12,9,10,15,9,18
S029,9,11,7,9,14,8,17
S030,8,15,5,14,13,10,16
S031,7,14,3,13,12,9,15
S032,10,13,10,12,15,8,14
S033,9,12,8,11,14,10,13
S034,8,11,6,10,13,9,12
S035,7,15,4,9,12,8,18
S036,10,14,2,14,15,10,17
S037,9,13,9,13,14,9,16
S038,8,12,7,12,13,8,15
S039,7,11,5,11,12,10,14
S040,10,15,3,10,15,9,13
